Airline Name,Airline Country,Airline Code
Gazpromavia,4G / GZP,4G
Genghis Khan Airlines,9D / NMG,9D
Georgian Airlines,GH / IGT,GH
Georgian Airways,A9 / TGZ,A9
Geosky,D4 / GEL,D4
German Airways,ZQ / GER,ZQ
Getjet Airlines,GW / GJT,GW
Ghadames Air Transport,NJ / GMS,NJ
Global Air Transport,5S / GAK,5S
Global X,G6 / GXA,G6
Go First,G8 / GOW,G8
Go2Sky,6G / RLX,6G
GOL Linhas Aereas,G3 / GLO,G3
GP Aviation,IV / GPX,IV
Grand Canyon Airlines,YR / CVU,YR
Grand China Air,CN / GDC,CN
Grant Aviation,GV / GUN,GV
Greater Bay Airlines,HB / HGB,HB
Green Africa Airways,Q9 / GWG,Q9
Gulf Air,GF / GFA,GF
GullivAir,G2 / GBG,G2
GX Airlines,GX / CBG,GX
Hahn Air,HR / HHN,HR
Hainan Airlines,HU / CHH,HU
Hala Air,HG / HTP,HG
Hawaiian Airlines,HA / HAL,HA
Hayways,Y5 / HYY,Y5
Hebei Airlines,NS / HBH,NS
Heli Air Monaco,YO / MCM,YO
Heli Securite,HS / HLI,HS
Hello Jets,H3 / HLJ,H3
Helvetic Airways,2L / OAW,2L
Heston Airlines,HN / HST,HN
Hi Fly,5K / HFY,5K
Himalaya Airlines,H9 / HIM,H9
Hinterland Aviation,OI / HND,OI
HiSky,H7 / HYM,H7
HK express,UO / HKE,UO
Hong Kong Air Cargo,RH / HKC,RH
Hong Kong Airlines,HX / CRK,HX
Hunnu Air,MR / MML,MR
Hydro Quebec,0Q / HYD,0Q
I-Fly,F7 / RSY,F7
IBC Airways,II / CSQ,II
Iberia,IB / IBE,IB
Iberia Express,I2 / IBS,I2
Iberojet,E9 / EVE,E9
Ibex Airlines,FW / IBX,FW
Ibom Air,QI / IAN,QI
Icelandair,FI / ICE,FI
Ikar,EO / KAR,EO
IndiaOne Air,I7 / IOA,I7
IndiGo,6E / IGO,6E
InterCaribbean Airways,JY / IWY,JY
InterJet West,K8 / IJW,K8
IrAero,IO / IAE,IO
Iran Air,IR / IRA,IR
Iran Airtour,B9 / IRB,B9
Iran Aseman Airlines,EP / IRC,EP
Iraqi Airways,IA / IAW,IA
Israir Airlines,6H / ISR,6H
ITA Airways,AZ / ITY,AZ
Izhavia,I8 / IZA,I8
Jambojet,JM / JMA,JM
Japan Air Commuter,JC / JAC,JC
Japan Airlines,JL / JAL,JL
Japan Transocean Air,NU / JTA,NU
Jazeera Airways,J9 / JZR,J9
Jeju Air,7C / JJA,7C
Jet Aviation Business Jets,PP / PJS,PP
Jet Linx Aviation,JL / JTL,JL
Jet Sky Airways,JK / JTK,JK
Jet2,LS / EXS,LS
JetBlue,B6 / JBU,B6
JetSMART,JA / JAT,JA
Jetstar,JQ / JST,JQ
Jettime,JP / JTD,JP
Jetways Airlines,WU / JWX,WU
Jiangsu Jingdong Cargo Airlines,JG / JDL,JG
Jiangxi Air,RY / CJX,RY
Jin Air,LJ / JNA,LJ
Jordan Aviation,R5 / JAV,R5
JoyAir,JR / JOY,JR
JSX,XE / JSX,XE
Juneyao Air,HO / DKH,HO
K-Mile Air,8K / KMI,8K
Kalitta Air,K4 / CKS,K4
Kalitta Charters,K9 / KFS,K9
Kalitta Charters II,K5 / KII,K5
Kam Air,RQ / KMF,RQ
Keewatin Air,FK / KEW,FK
Kelowna Flightcraft Air,FK / KFA,FK
